id,codigo_municipio,codigo_estado,nombre_municipio
sat_municipio_433,015,QUE,San Joaquín
sat_municipio_434,015,SIN,Salvador Alvarado
sat_municipio_435,015,SLP,Charcas
sat_municipio_436,015,SON,Bavispe
sat_municipio_437,015,TAB,Tacotalpa
sat_municipio_438,015,TAM,Gustavo Díaz Ordaz
sat_municipio_439,015,TLA,Ixtacuixtla de Mariano Matamoros
sat_municipio_440,015,VER,Angel R. Cabada
sat_municipio_441,015,YUC,Cuzamá
sat_municipio_442,015,ZAC,El Plateado de Joaquín Amaro
sat_municipio_443,016,COA,Lamadrid
sat_municipio_444,016,CHH,La Cruz
sat_municipio_445,016,CHP,Catazajá
sat_municipio_446,016,DIF,Miguel Hidalgo
sat_municipio_447,016,DUR,Nombre de Dios
sat_municipio_448,016,GRO,Coahuayutla de José María Izazaga
sat_municipio_449,016,GUA,Huanímaro
sat_municipio_450,016,HID,Cuautepec de Hinojosa
sat_municipio_451,016,JAL,Ayotlán
sat_municipio_452,016,MEX,Axapusco
sat_municipio_453,016,MIC,Coeneo
sat_municipio_454,016,MOR,Ocuituco
sat_municipio_455,016,NAY,Tecuala
sat_municipio_456,016,NLE,Doctor González
sat_municipio_457,016,OAX,Coicoyán de las Flores
sat_municipio_458,016,PUE,Aquixtla
sat_municipio_459,016,QUE,San Juan del Río
sat_municipio_460,016,SIN,San Ignacio
sat_municipio_461,016,SLP,Ebano
sat_municipio_462,016,SON,Benjamín Hill
sat_municipio_463,016,TAB,Teapa
sat_municipio_464,016,TAM,Hidalgo
sat_municipio_465,016,TLA,Ixtenco
sat_municipio_466,016,VER,La Antigua
sat_municipio_467,016,YUC,Chacsinkín
sat_municipio_468,016,ZAC,General Pánfilo Natera
sat_municipio_469,017,COA,Matamoros
sat_municipio_470,017,CHH,Cuauhtémoc
sat_municipio_471,017,CHP,Cintalapa
sat_municipio_472,017,DIF,Venustiano Carranza
sat_municipio_473,017,DUR,Ocampo
sat_municipio_474,017,GRO,Cocula
sat_municipio_475,017,GUA,Irapuato
sat_municipio_476,017,HID,Chapantongo
sat_municipio_477,017,JAL,Ayutla
sat_municipio_478,017,MEX,Ayapango
sat_municipio_479,017,MIC,Contepec
sat_municipio_480,017,MOR,Puente de Ixtla
sat_municipio_481,017,NAY,Tepic
sat_municipio_482,017,NLE,Galeana
sat_municipio_483,017,OAX,La Compañía
sat_municipio_484,017,PUE,Atempan
sat_municipio_485,017,QUE,Tequisquiapan
sat_municipio_486,017,SIN,Sinaloa
sat_municipio_487,017,SLP,Guadalcázar
sat_municipio_488,017,SON,Caborca
sat_municipio_489,017,TAB,Tenosique
sat_municipio_490,017,TAM,Jaumave
sat_municipio_491,017,TLA,Mazatecochco de José María Morelos
sat_municipio_492,017,VER,Apazapan
sat_municipio_493,017,YUC,Chankom
sat_municipio_494,017,ZAC,Guadalupe
sat_municipio_495,018,COA,Monclova
sat_municipio_496,018,CHH,Cusihuiriachi
sat_municipio_497,018,CHP,Coapilla
sat_municipio_498,018,DUR,El Oro
sat_municipio_499,018,GRO,Copala
sat_municipio_500,018,GUA,Jaral del Progreso
sat_municipio_501,018,HID,Chapulhuacán
sat_municipio_502,018,JAL,La Barca
sat_municipio_503,018,MEX,Calimaya
sat_municipio_504,018,MIC,Copándaro
sat_municipio_505,018,MOR,Temixco
sat_municipio_506,018,NAY,Tuxpan
sat_municipio_507,018,NLE,García
sat_municipio_508,018,OAX,Concepción Buenavista
sat_municipio_509,018,PUE,Atexcal
sat_municipio_510,018,QUE,Tolimán
sat_municipio_511,018,SIN,Navolato
sat_municipio_512,018,SLP,Huehuetlán
sat_municipio_513,018,SON,Cajeme
sat_municipio_514,018,TAM,Jiménez
sat_municipio_515,018,TLA,Contla de Juan Cuamatzi
sat_municipio_516,018,VER,Aquila
sat_municipio_517,018,YUC,Chapab
sat_municipio_518,018,ZAC,Huanusco
sat_municipio_519,019,COA,Morelos
sat_municipio_520,019,CHH,Chihuahua
sat_municipio_521,019,CHP,Comitán de Domínguez
sat_municipio_522,019,DUR,Otáez
sat_municipio_523,019,GRO,Copalillo
sat_municipio_524,019,GUA,Jerécuaro
sat_municipio_525,019,HID,Chilcuautla
sat_municipio_526,019,JAL,Bolaños
sat_municipio_527,019,MEX,Capulhuac
sat_municipio_528,019,MIC,Cotija
sat_municipio_529,019,MOR,Tepalcingo
sat_municipio_530,019,NAY,La Yesca
sat_municipio_531,019,NLE,San Pedro Garza García
sat_municipio_532,019,OAX,Concepción Pápalo
sat_municipio_533,019,PUE,Atlixco
sat_municipio_534,019,SLP,Lagunillas
